flight_number,name,date_utc,success,rocket,launchpad,payloads,cores,landing_success,launch_date
67,Merah Putih,2018-08-07T05:18:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4c9b6c3bb0006eeb22a'],"[{'core': '5e9e28a5f359182b023b2656', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",1,2018-08-07
68,Telstar 18V,2018-09-10T04:45:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4c9b6c3bb0006eeb22b'],"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",1,2018-09-10
69,SAOCOM 1A,2018-10-08T02:22:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,['5eb0e4c9b6c3bb0006eeb22c'],"[{'core': '5e9e28a5f3591809c03b2658', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}]",1,2018-10-08
70,Es’hail 2,2018-11-15T20:46:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,['5eb0e4c9b6c3bb0006eeb22d'],"[{'core': '5e9e28a5f359181eed3b2657', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",1,2018-11-15
71,SSO-A,2018-12-03T18:34:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,['5eb0e4c9b6c3bb0006eeb22e'],"[{'core': '5e9e28a5f359182b023b2656', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",1,2018-12-03
72,CRS-16,2018-12-05T18:16:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4cab6c3bb0006eeb22f'],"[{'core': '5e9e28a6f359185c603b265a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}]",1,2018-12-05
73,GPS III SV01,2018-12-23T13:51:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,['5eb0e4cab6c3bb0006eeb230'],"[{'core': '5e9e28a6f35918513b3b265b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}]",1,2018-12-23
74,Iridium NEXT Mission 8,2019-01-11T15:31:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,['5eb0e4cab6c3bb0006eeb231'],"[{'core': '5e9e28a5f3591833b13b2659', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}]",1,2019-01-11
75,Nusantara Satu (PSN-6) / S5 / Beresheet,2019-02-22T01:45:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,"['5eb0e4cab6c3bb0006eeb232', '5eb0e4cab6c3bb0006eeb233', '5eb0e4cab6c3bb0006eeb234']","[{'core': '5e9e28a5f3591809c03b2658', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",1,2019-02-22
76,CCtCap Demo Mission 1,2019-03-02T07:45:00.000Z,True,5e9d0d95eda69973a809d1ec,5e9e4502f509094188566f88,['5eb0e4cbb6c3bb0006eeb235'],"[{'core': '5e9e28a6f35918c0803b265c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}]",1,2019-03-02
